ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC; Name (All Years): South Portland Public Schools

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Total Students All Grades (Excludes AE) [District] 2023-24,Total Students All Grades (Excludes AE) [District] 2022-23,Total Students All Grades (Excludes AE) [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2019-20,Total Students All Grades (Excludes AE) [District] 2018-19,Total Students All Grades (Excludes AE) [District] 2017-18,Total Students All Grades (Excludes AE) [District] 2016-17,Total Students All Grades (Excludes AE) [District] 2015-16,Total Students All Grades (Excludes AE) [District] 2014-15,Total Students All Grades (Excludes AE) [District] 2013-14,Prekindergarten Students [District] 2024-25,Prekindergarten Students [District] 2023-24,Prekindergarten Students [District] 2022-23,Prekindergarten Students [District] 2021-22,Prekindergarten Students [District] 2020-21,Prekindergarten Students [District] 2019-20,Prekindergarten Students [District] 2018-19,Prekindergarten Students [District] 2017-18,Prekindergarten Students [District] 2016-17,Prekindergarten Students [District] 2015-16,Prekindergarten Students [District] 2014-15,Prekindergarten Students [District] 2013-14,Kindergarten Students [District] 2024-25,Kindergarten Students [District] 2023-24,Kindergarten Students [District] 2022-23,Kindergarten Students [District] 2021-22,Kindergarten Students [District] 2020-21,Kindergarten Students [District] 2019-20,Kindergarten Students [District] 2018-19,Kindergarten Students [District] 2017-18,Kindergarten Students [District] 2016-17,Kindergarten Students [District] 2015-16,Kindergarten Students [District] 2014-15,Kindergarten Students [District] 2013-14,Grade 1 Students [District] 2024-25,Grade 1 Students [District] 2023-24,Grade 1 Students [District] 2022-23,Grade 1 Students [District] 2021-22,Grade 1 Students [District] 2020-21,Grade 1 Students [District] 2019-20,Grade 1 Students [District] 2018-19,Grade 1 Students [District] 2017-18,Grade 1 Students [District] 2016-17,Grade 1 Students [District] 2015-16,Grade 1 Students [District] 2014-15,Grade 1 Students [District] 2013-14,Grade 2 Students [District] 2024-25,Grade 2 Students [District] 2023-24,Grade 2 Students [District] 2022-23,Grade 2 Students [District] 2021-22,Grade 2 Students [District] 2020-21,Grade 2 Students [District] 2019-20,Grade 2 Students [District] 2018-19,Grade 2 Students [District] 2017-18,Grade 2 Students [District] 2016-17,Grade 2 Students [District] 2015-16,Grade 2 Students [District] 2014-15,Grade 2 Students [District] 2013-14,Grade 3 Students [District] 2024-25,Grade 3 Students [District] 2023-24,Grade 3 Students [District] 2022-23,Grade 3 Students [District] 2021-22,Grade 3 Students [District] 2020-21,Grade 3 Students [District] 2019-20,Grade 3 Students [District] 2018-19,Grade 3 Students [District] 2017-18,Grade 3 Students [District] 2016-17,Grade 3 Students [District] 2015-16,Grade 3 Students [District] 2014-15,Grade 3 Students [District] 2013-14,Grade 4 Students [District] 2024-25,Grade 4 Students [District] 2023-24,Grade 4 Students [District] 2022-23,Grade 4 Students [District] 2021-22,Grade 4 Students [District] 2020-21,Grade 4 Students [District] 2019-20,Grade 4 Students [District] 2018-19,Grade 4 Students [District] 2017-18,Grade 4 Students [District] 2016-17,Grade 4 Students [District] 2015-16,Grade 4 Students [District] 2014-15,Grade 4 Students [District] 2013-14,Grade 5 Students [District] 2024-25,Grade 5 Students [District] 2023-24,Grade 5 Students [District] 2022-23,Grade 5 Students [District] 2021-22,Grade 5 Students [District] 2020-21,Grade 5 Students [District] 2019-20,Grade 5 Students [District] 2018-19,Grade 5 Students [District] 2017-18,Grade 5 Students [District] 2016-17,Grade 5 Students [District] 2015-16,Grade 5 Students [District] 2014-15,Grade 5 Students [District] 2013-14,Grade 6 Students [District] 2024-25,Grade 6 Students [District] 2023-24,Grade 6 Students [District] 2022-23,Grade 6 Students [District] 2021-22,Grade 6 Students [District] 2020-21,Grade 6 Students [District] 2019-20,Grade 6 Students [District] 2018-19,Grade 6 Students [District] 2017-18,Grade 6 Students [District] 2016-17,Grade 6 Students [District] 2015-16,Grade 6 Students [District] 2014-15,Grade 6 Students [District] 2013-14,Grade 7 Students [District] 2024-25,Grade 7 Students [District] 2023-24,Grade 7 Students [District] 2022-23,Grade 7 Students [District] 2021-22,Grade 7 Students [District] 2020-21,Grade 7 Students [District] 2019-20,Grade 7 Students [District] 2018-19,Grade 7 Students [District] 2017-18,Grade 7 Students [District] 2016-17,Grade 7 Students [District] 2015-16,Grade 7 Students [District] 2014-15,Grade 7 Students [District] 2013-14,Grade 8 Students [District] 2024-25,Grade 8 Students [District] 2023-24,Grade 8 Students [District] 2022-23,Grade 8 Students [District] 2021-22,Grade 8 Students [District] 2020-21,Grade 8 Students [District] 2019-20,Grade 8 Students [District] 2018-19,Grade 8 Students [District] 2017-18,Grade 8 Students [District] 2016-17,Grade 8 Students [District] 2015-16,Grade 8 Students [District] 2014-15,Grade 8 Students [District] 2013-14,Grade 9 Students [District] 2024-25,Grade 9 Students [District] 2023-24,Grade 9 Students [District] 2022-23,Grade 9 Students [District] 2021-22,Grade 9 Students [District] 2020-21,Grade 9 Students [District] 2019-20,Grade 9 Students [District] 2018-19,Grade 9 Students [District] 2017-18,Grade 9 Students [District] 2016-17,Grade 9 Students [District] 2015-16,Grade 9 Students [District] 2014-15,Grade 9 Students [District] 2013-14,Grade 10 Students [District] 2024-25,Grade 10 Students [District] 2023-24,Grade 10 Students [District] 2022-23,Grade 10 Students [District] 2021-22,Grade 10 Students [District] 2020-21,Grade 10 Students [District] 2019-20,Grade 10 Students [District] 2018-19,Grade 10 Students [District] 2017-18,Grade 10 Students [District] 2016-17,Grade 10 Students [District] 2015-16,Grade 10 Students [District] 2014-15,Grade 10 Students [District] 2013-14,Grade 11 Students [District] 2024-25,Grade 11 Students [District] 2023-24,Grade 11 Students [District] 2022-23,Grade 11 Students [District] 2021-22,Grade 11 Students [District] 2020-21,Grade 11 Students [District] 2019-20,Grade 11 Students [District] 2018-19,Grade 11 Students [District] 2017-18,Grade 11 Students [District] 2016-17,Grade 11 Students [District] 2015-16,Grade 11 Students [District] 2014-15,Grade 11 Students [District] 2013-14,Grade 12 Students [District] 2024-25,Grade 12 Students [District] 2023-24,Grade 12 Students [District] 2022-23,Grade 12 Students [District] 2021-22,Grade 12 Students [District] 2020-21,Grade 12 Students [District] 2019-20,Grade 12 Students [District] 2018-19,Grade 12 Students [District] 2017-18,Grade 12 Students [District] 2016-17,Grade 12 Students [District] 2015-16,Grade 12 Students [District] 2014-15,Grade 12 Students [District] 2013-14
SOUTH PORTLAND PUBLIC SCHOOLS,Maine,2816,2942,3081,2890,2913,2963,2979,2982,3043,3084,3102,3096,51,56,49,45,57,57,56,36,28,28,27,28,200,217,202,243,229,238,228,214,239,246,229,259,212,188,250,211,204,208,201,227,232,225,252,257,190,222,230,205,208,193,214,221,230,247,252,254,215,223,232,204,184,214,214,229,230,243,255,229,213,222,209,167,212,221,236,221,254,248,222,245,199,202,192,206,217,239,230,246,230,212,243,255,209,185,220,209,234,223,250,218,219,244,256,230,182,218,226,245,218,244,222,226,244,252,238,233,217,214,252,218,241,218,222,246,245,227,231,256,208,237,235,244,224,220,240,212,227,223,251,197,229,228,282,226,228,233,225,229,219,255,204,220,218,271,258,228,225,229,217,223,239,207,222,211,273,259,244,239,232,226,224,234,207,227,220,222


Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "Local Education Agency (School District) Universe Survey" 2013-14 v.1a  2016-17 v.2a  2017-18 v.1a  2018-19 v.1a  2019-20 v.1a  2020-21 v.1a  2021-22 v.1a  2022-23 v.1a  2023-24 v.1a  2024-25 v.1a; "Local Education Agency (School District) Universe Survey Membership Data" 2014-15 v.1a  2015-16 v.1a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
